0.0, (['25.19RGSYD8', '46.19RGSYD8'], 2018)
0.0, (['25.19RGSYD8', '104.19RGSYD8'], 2018)
0.0, (['25.19RGSYD8', '145.19RGSYD8'], 2018)
4.8245241865973325, (['46.19RGSYD8', '104.19RGSYD8'], 2018)
15.611631765848932, (['46.19RGSYD8', '145.19RGSYD8'], 2018)
0.0, (['104.19RGSYD8', '145.19RGSYD8'], 2018)
0.0, (['3.19RGSYD8', '135.19RGSYD8'], 2018)
0.0, (['13.2RGSYD8', '126.2RGSYD8'], 2018)
0.0, (['79.12RGSYD8', '95.12RGSYD8'], 2018)
0.0, (['79.12RGSYD8', '102.12RGSYD8'], 2018)
0.0, (['95.12RGSYD8', '102.12RGSYD8'], 2018)
0.0, (['18.12RGSYD8', '34.12RGSYD8'], 2018)
0.0, (['18.12RGSYD8', '59.12RGSYD8'], 2018)
0.0, (['18.12RGSYD8', '63.12RGSYD8'], 2018)
0.0, (['34.12RGSYD8', '59.12RGSYD8'], 2018)
0.0, (['34.12RGSYD8', '63.12RGSYD8'], 2018)
0.0, (['59.12RGSYD8', '63.12RGSYD8'], 2018)
0.0, (['2.12RGSYD8', '39.12RGSYD8'], 2018)
0.0, (['16.12RGSYD8', '93.12RGSYD8'], 2018)
0.0, (['3.12SYD8', '8.12SYD8'], 2018)
0.0, (['3.12SYD8', '23.12SYD8'], 2018)
