Filavacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.9788,0.0954,122.2RG,92.9RG,108.18,99.5,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,0.0983,51.8RG,40.2RG,38.2RG,106.2RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.9997,0.0932,53.3RG,75.5RG,18.3RG,65.17,63.6,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,0.0978,8.4RG,48.4RG,19.15RG,11.4RG,25.4RG,5.4RG,1.4,15.15,16.15,120.12,2.4,23.4,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.6797,0.0676,13.2RG,126.2RG,41.13RG,131.12RG,123.13RG,127.9RG,93.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.9997,0.0891,60.13RG,108.11RG,16.11,53.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,0.0965,45.17RG,2.2RG,2.19RG,170.18RG,59.14RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,0.0992,145.9RG,110.1RG,145.3RG,94.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0.9998,0.0921,14.8RG,51.12RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,0.0967,105.13RG,4.18RG,133.18,42.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,0.0839,152.9RG,69.3,70.3,98.6,54.6,73.11,143.6,79.19,23.1,83.1,185.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,0.0978,98.18RG,61.19RG,27.13RG,54.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0.9907,0.0984,22.9RG,28.6,7.9,34.6,46.1,139.1,50.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0.783,0.035,147.19RG,39.2,101.9,129.12,146.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.9874,0.0974,72.2RG,165.9RG,11.1,20.1,122.11,125.9,10.5,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0.9986,0.0871,8.11RG,96.6RG,113.11RG,112.6,64.14,6.6,151.11,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0.9998,0.0992,91.5RG,14.17RG,19.17RG,163.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
