bee,X15,X16,X17,X18,X1,X2,X3,X4,X5,X6,X7,X8,X19,X20,X21,X22,pvals
438,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,0.5164122683960384
439,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
440,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
444,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,0.02845973691631065
445,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.02845973691631065
446,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,0.5164122683960384
447,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,0.5164122683960384
448,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,1.0
449,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,0.22779999398822914
450,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0.5164122683960384
451,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0.1024704348597496
452,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,0.02845973691631065
454,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0
456,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,0.2277999939882287
458,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,0.2277999939882287
459,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
460,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
461,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
463,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.10247043485974938
465,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
466,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
467,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1.0
468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
469,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
470,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
471,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
472,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
473,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
477,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
478,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
479,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,1.0
480,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
481,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
482,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,0.004677734981047177
484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
487,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2850494074026124
488,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.10247043485974938
489,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
490,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.2850494074026124
491,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.10247043485974916
492,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0.10247043485974938
493,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
496,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
498,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
503,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
504,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
505,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
506,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
507,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
508,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
509,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
510,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
511,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
513,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
515,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
517,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
520,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
521,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
522,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
524,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
525,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
529,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
530,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
533,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
534,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
536,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
538,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,0.07684324403365639
541,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
542,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1.0
543,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0
544,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
545,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.5164122683960384
546,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,0.2277999939882287
548,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
549,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2850494074026124
550,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
551,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,0.07684324403365639
552,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,0.58621368107314
553,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
554,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.1024704348597496
555,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.28504940740261286
556,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0.5164122683960384
557,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
561,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
562,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
563,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.0
564,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.1024704348597496
565,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
566,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
568,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
569,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
571,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
572,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
574,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,0.02845973691631043
576,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,0.58621368107314
577,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
578,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,0.22779999398822914
579,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,0.22779999398822914
580,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0.5164122683960382
581,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,0.004677734981047399
582,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
583,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.28504940740261286
584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.28504940740261286
586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
589,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
591,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
593,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
594,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
595,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
596,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
599,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
602,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.28504940740261286
603,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
606,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2850494074026124
607,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
609,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0.5164122683960384
612,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
614,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.28504940740261286
618,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.1024704348597496
621,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.0
622,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.1024704348597496
626,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.1024704348597496
627,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.28504940740261286
629,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.28504940740261286
632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
634,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.1024704348597496
635,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
636,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
638,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
640,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
643,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.28504940740261286
644,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.10247043485974916
645,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
646,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
653,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
654,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.28504940740261286
656,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,0.07684324403365639
657,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.0
658,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
659,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
662,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
668,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
670,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
671,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
675,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0.5164122683960384
676,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
678,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.0
679,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
680,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
683,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
684,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
686,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
687,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
688,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
689,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
690,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
693,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,0.2277999939882287
694,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
695,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.1024704348597496
696,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
697,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
698,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
699,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
700,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
702,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
703,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,0.5164122683960384
705,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
706,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
707,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
709,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
710,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
711,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
712,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
713,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
715,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
717,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
719,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
720,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
721,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
722,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
723,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
725,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
726,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
727,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
728,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
732,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
734,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
737,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
741,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
742,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
743,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
744,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
746,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
756,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.28504940740261286
758,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.5164122683960382
760,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.0
761,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
765,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
770,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
780,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
781,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
782,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
783,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
785,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
786,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
787,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
790,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
791,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
798,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.28504940740261286
809,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,0.2277999939882287
812,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,0.0002607296328553943
813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
817,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
818,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0.02845973691631043
822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
824,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
825,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
827,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,0.004677734981047177
828,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
829,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0.02845973691631043
830,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
831,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
832,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
833,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
834,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
836,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.5164122683960384
838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.28504940740261286
842,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2850494074026124
848,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0
849,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2850494074026124
852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
855,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
856,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
860,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
861,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
862,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
865,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
867,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
868,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.28504940740261286
870,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
872,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
874,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
878,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
881,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0
882,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2850494074026124
884,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0.02845973691631043
889,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
890,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,0.004677734981047177
891,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,0.0002607296328553943
892,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,0.02845973691631043
893,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,0.004677734981047177
894,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,0.02845973691631043
895,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,0.02845973691631043
897,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.10247043485974916
898,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,0.02845973691631043
899,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0.02845973691631043
900,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0.02845973691631043
902,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,0.0002607296328553943
903,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,0.02845973691631043
904,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.28504940740261286
905,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.10247043485974916
906,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.10247043485974916
907,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0.02845973691631043
908,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,0.004677734981047177
909,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,0.0002607296328553943
911,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.10247043485974916
913,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,0.10247043485974938
917,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
918,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
919,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
920,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.2850494074026124
923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
928,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
929,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,0.02845973691631043
932,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
933,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
934,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
935,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
936,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.10247043485974938
937,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
940,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
943,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
945,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
946,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
948,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
951,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
952,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
953,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
957,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
959,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
961,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
962,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2850494074026124
964,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.28504940740261286
965,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.28504940740261286
966,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.10247043485974916
967,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.02845973691631043
968,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0.02845973691631043
969,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,0.004677734981047177
970,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.10247043485974938
971,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.02845973691631043
973,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.02845973691631043
976,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.5164122683960384
980,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
981,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.10247043485974938
982,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.10247043485974938
983,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.10247043485974938
