(Fila vacia),,,,,,,,,,,,,,,,,,
171,1,0.099,242.2RG,492.1RG,180.4RG,346.5RG,409.5RG,221.5,,,,,,,,,,
172,1,0.0833,226.2RG,350.1RG,193.2RG,388.4RG,156.3,,,,,,,,,,,
173,0.9958,0.0975,103.4RG,260.3,385.3,138.2,449.1,497.1,157.3,184.3,,,,,,,,
174,1,0.0993,548.2RG,429.3RG,152.2RG,54.4RG,366.2,227.2,,,,,,,,,,
175,1,0.0405,185.5RG,291.2RG,44.4RG,63.5RG,453.2RG,466.3RG,119.4,132.5,,,,,,,,
176,0.9755,0.1902,17.3RG,390.1RG,336.5RG,399.5RG,345.4,12.3,418.2,90.5,400.3,204.2,,,,,,
177,1,0.1315,317.3RG,246.1RG,259.5RG,102.5,,,,,,,,,,,,
178,1,0.1695,86.5RG,80.4RG,356.1,410.2,83.2,,,,,,,,,,,
179,1,0.0998,310.4RG,108.5RG,383.4RG,32.3RG,25.3RG,62.5RG,174.3RG,,,,,,,,,
180,1,0.0994,292.1RG,239.1RG,444.2RG,120.5,362.4,279.5,214.2,322.4,,,,,,,,
181,1,0.0986,400.4RG,119.3RG,271.5RG,87.2,415.1,,,,,,,,,,,
182,1,0.0863,214.3RG,117.1RG,46.4RG,177.5RG,109.5RG,90.4,371.1,438.2,,,,,,,,
183,0.6239,0.0619,216.5RG,124.2RG,198.2RG,284.2,92.2,402.1,247.2,188.3,390.4,,,,,,,
184,1,0.1004,476.1RG,313.2RG,228.1RG,321.4RG,93.3RG,8.3,34.2,59.3,40.3,,,,,,,
185,0.4691,0.0465,372.4RG,386.2RG,145.5,398.3,87.4,246.4,30.4,14.2,,,,,,,,
186,0.9213,0.0918,292.5RG,355.5RG,314.4RG,110.4RG,418.3,149.1,,,,,,,,,,
187,1,0.0313,77.3RG,220.5RG,98.3RG,28.3RG,220.1RG,90.3,,,,,,,,,,
188,1,0.1175,500.1RG,68.3RG,310.2RG,353.4,129.1,,,,,,,,,,,
189,1,0.0993,306.5RG,369.5RG,395.4RG,202.4,69.5,385.2,268.1,321.1,7.1,,,,,,,
190,1,0.0986,61.1RG,339.5RG,402.5RG,79.5RG,249.3RG,213.5,210.4,,,,,,,,,
191,1,0.0935,132.3RG,196.4RG,391.3,115.2,,,,,,,,,,,,
192,1,0.0988,385.1RG,299.4RG,218.5RG,487.3,6.4,283.3,,,,,,,,,,
193,1,0.1025,176.4RG,187.5RG,124.5RG,11.5RG,168.1RG,37.4RG,101.2RG,297.1RG,289.2RG,64.2,439.1,,,,,
194,1,0.0989,376.4RG,369.3RG,387.2RG,410.3RG,379.2RG,,,,,,,,,,,
195,1,0.0993,320.3RG,170.1RG,224.1RG,483.1RG,526.1,,,,,,,,,,,
196,1,0.0992,96.2RG,257.5RG,436.1RG,475.1,231.1,,,,,,,,,,,
197,1,0.0985,337.1RG,155.4RG,28.1RG,373.4,,,,,,,,,,,,
198,1,0.0208,393.4RG,14.3RG,337.5,400.5,127.5,380.2,519.2,,,,,,,,,
199,0.8993,0.0897,261.4RG,201.3RG,437.3RG,296.3,259.3,45.5,194.3,91.4,498.2,,,,,,,
200,1,0.0989,188.1RG,338.4RG,487.1RG,124.3RG,491.2,61.5,25.4,208.1,,,,,,,,
201,1,0.0991,65.1RG,433.2RG,379.3,316.4,276.1,126.5,450.1,,,,,,,,,
202,0.9996,0.0993,482.1RG,502.2,69.3,372.3,455.2,289.1,479.3,416.3,57.3,273.1,,,,,,
203,0.3341,0.033,153.2RG,246.5,16.3,274.3,395.2,263.1,69.1,,,,,,,,,
204,1,0.0991,409.3RG,305.1RG,484.2RG,511.2,378.1,331.3,336.1,363.4,,,,,,,,
205,1,0.0992,74.2RG,108.3,230.5,259.2,,,,,,,,,,,,
206,1,0.1011,5.1RG,307.4RG,186.5RG,160.2RG,428.1,183.5,271.1,138.4,312.4,39.3,462.1,,,,,
207,1,0.0988,471.2RG,152.3RG,158.2RG,44.2RG,326.1RG,459.3,475.2,473.1,,,,,,,,
208,1,0.0978,48.4RG,170.5RG,302.1,476.3,164.5,439.4,,,,,,,,,,
209,1,0.0994,141.4RG,215.3RG,93.2RG,372.1RG,299.2RG,285.2,184.2,499.1,,,,,,,,
210,1,0.105,21.3RG,41.4RG,192.4RG,423.2RG,68.1RG,69.2RG,,,,,,,,,,
211,1,0.0981,133.4RG,313.5RG,376.5RG,212.4RG,281.1,,,,,,,,,,,
212,1,0.0962,115.4RG,424.3,374.4,394.2,122.3,,,,,,,,,,,
213,1,0.0995,467.1RG,214.5,286.5,349.5,107.2,283.4,142.4,255.2,,,,,,,,
214,1,0.0991,240.1RG,89.2RG,65.3RG,324.3RG,279.2,,,,,,,,,,,
215,1,0.0995,495.2RG,81.5RG,303.5RG,366.5RG,126.3,508.1,421.3,306.2,386.1,,,,,,,
216,1,0.0994,31.2RG,339.1RG,387.4RG,163.5RG,3.3RG,,,,,,,,,,,
217,0.5663,0.0563,316.2RG,396.1RG,260.1RG,30.3RG,80.3RG,213.4,156.2,,,,,,,,,
218,1,0.0645,290.5RG,353.5RG,539.2,174.4,143.2,363.1,228.2,,,,,,,,,
219,1,0.0994,161.2RG,500.2RG,176.3RG,145.4,110.1,,,,,,,,,,,
220,1,0.0932,430.2RG,250.5RG,298.2RG,45.1,222.4,,,,,,,,,,,
221,0.9936,0.1004,329.3RG,206.4RG,293.3,15.4,130.4,250.1,47.3,98.1,,,,,,,,
222,0.407,0.0428,42.3RG,167.2RG,327.2RG,287.2RG,413.1RG,255.5,411.1,488.3,321.3,49.4,435.2,,,,,
223,1,0.0565,360.2RG,337.3RG,356.3,211.3,119.2,334.4,,,,,,,,,,
224,1,0.0995,514.1RG,502.1RG,260.5RG,234.3RG,42.2RG,140.5,101.5,,,,,,,,,
225,1,0.0991,215.2RG,423.3RG,399.1RG,91.2,461.3,465.3,,,,,,,,,,
226,1,0.0997,325.1RG,456.3RG,515.1RG,70.4RG,410.4,,,,,,,,,,,
227,1,0.0986,245.4RG,253.1RG,333.1RG,404.4,338.5,401.5,427.2,,,,,,,,,
228,1,0.0983,494.1RG,171.5RG,182.5RG,175.2,39.2,465.1,,,,,,,,,,
229,1,0.0891,215.4RG,361.2RG,132.2,120.1,286.2,,,,,,,,,,,
230,0.6673,0.0657,374.3RG,501.2RG,236.3,84.2,225.3,446.1,114.4,409.4,318.1,,,,,,,
231,1,0.0991,216.2RG,330.2RG,74.4RG,13.1,307.3,,,,,,,,,,,
