Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
267,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.2825564792379551
273,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0.04596932955310362
274,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0015654022580025018
275,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0.0755605675259412
276,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.8899519866505381
277,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.276822714688858
278,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0.6963619219820578
279,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665791
281,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.038433930236781544
283,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.2825564792379551
284,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7100281378519226
293,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.8662133726349168
295,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0015654022580025018
296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
297,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.038433930236781544
298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
299,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8662133726349168
300,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.276822714688858
306,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7100281378519226
307,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7100281378519226
309,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.08326451666355039
310,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.276822714688858
313,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665813
314,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.009823274507519297
315,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0.7872806277783466
316,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.038433930236781544
318,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.5257060830333564
319,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7100281378519226
320,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8662133726349168
321,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0.8899519866505381
322,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.5257060830333566
323,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.038433930236781544
324,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7100281378519226
326,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0.2825564792379551
327,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.8662133726349168
329,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.009823274507519297
330,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.5257060830333564
331,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0.2825564792379549
332,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.038433930236781544
